Number,Lemma,PoS,reason,tikhonov_roots_raw,deterministic_roots,kuznetsova_homonym_candidates,notes,roots
21685,негодующе,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,год
21692,негосударственный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,государ
21693,неготовность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,готов
21694,неготовый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,готов
21699,негритенок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,негр
21703,негромко,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,гром
21704,негусто,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,густ
21705,негустой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,густ
21709,недалеко,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,далек
21710,недальновидность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дальновид
21712,недаром,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дар
21715,недвижно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,движ
21717,недвусмысленно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мысл
21719,недееспособность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дееспособ
21720,недееспособный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дееспособ
21721,недействительность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,действ
21723,недействующий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,действ
21724,неделимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дел
21728,неденежный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,денеж
21729,неденоминированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,номин
21731,недетский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дет
21733,недешевый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дешев
21735,недифференцированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дифференц
21736,недлинный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,длин
21737,недобитый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,би(j)
21740,недобро,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,добр
21741,недобровольный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вол-1
21742,недоброжелатель,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"добр,жел"
21743,недоброжелательно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"добр,жел"
21744,недоброжелательность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"добр,жел"
21745,недоброжелательный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"добр,жел"
21748,недобросовестность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,совест
21750,недобрый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,добр
21751,недоверие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вер
21752,недоверчиво,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вер
21753,недоверчивость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вер
21754,недоверчивый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вер
21755,недовольно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вол-1
21760,недоговаривать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,говор
21764,недоделать,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дел
21770,недозрелый,a,lemma_level_conflict,зре,,,Conflicting automatic candidates across lemmas: зр|зре,зре
21772,недоказанность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,каз-1
21774,недокуренный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кур
21777,недолго,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,долг-1
21778,недолговечность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"долг-1,веч-1"
21791,недопесок,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,пес-1
21792,недописанный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,пис
21793,недопить,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,пи
21798,недопонимание,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,пон
21800,недопонять,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,понят
21801,недопустимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,допуст
21802,недопустимость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,допуст
21805,недоработка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,работ
21808,недорезанный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,рез
21809,недорого,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дорог-1
21812,недосказанность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,сказ
21815,недосмотр,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,смотр
21819,недостаточно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,достат
21820,недостаточность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,достат
21826,недостоверность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,достоверн
21828,недостоинство,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,достоин
21829,недостойно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дост
21831,недостроенный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,стро
21832,недоступность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ступ
21834,недосуг,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,досуг
21839,недосягаемость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,сяг
21844,недоумевающе,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ум
21846,недоуменно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ум
21849,недоучет,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,учет
21850,недоучившийся,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,уч
21852,недофинансирование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,финанс
21853,недочеловек,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,человек
21854,недочет,s,lemma_level_conflict,чет,,,Conflicting automatic candidates across lemmas: чет|четвер,чет
21857,недропользование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"недр,польз"
21858,недропользователь,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"недр,польз"
21860,недружелюбно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,друж
21862,недружественный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,друж
21865,недурной,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дур
21867,нееврей,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,еврей
21868,нееврейский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,еврей
21869,неестественно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,естествен
21870,неестественность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,естествен
21876,нежелание,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жел
21877,нежеланный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жел
21878,нежелательно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жел
21880,неженатый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жен
21882,неживой,a,lemma_level_conflict,жи,,,Conflicting automatic candidates across lemmas: жи|жил,жи
21883,нежизнеспособный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жи
21884,нежилой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жил
21885,нежинский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нежин
21890,нежнейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,неж
21891,нежно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,неж
21892,нежно-голубой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"неж,голуб"
21893,нежно-зеленый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"неж,зелен"
21894,нежно-розовый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"неж,роз"
21900,незавершенность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,заверш
21903,независимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,завис
21905,независимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,завис
21906,независящий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,завис
21910,незажженный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жг
21911,незаживающий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,жив
21912,незаинтересованность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,интерес
21914,незаконно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,закон
21915,незаконнорожденный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,закон
21916,незаконность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,закон
21919,незакрытый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кры
21922,незаменимость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,замен
21925,незаметно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,замет
21927,незамеченный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,замеч
21929,незамутненный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мутн
21930,незамысловатый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мысл
21934,незапланированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,план
21935,незаполненный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,полн
21937,незараженный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зараж
21940,незаслуженно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,служ
21942,незастегнутый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,стег
21943,незатейливо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,затей
21944,незатейливый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,затей
21945,незаурядность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,заурядн
21947,незачем,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зач
21949,незащищенный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,защищ
21950,незваный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зван
21951,нездешний,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,здеш
21965,незначимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,знач
21966,незначительно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,знач
21967,незначительность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,знач
21968,незначительный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,знач
21969,незрелость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зре
21970,незрелый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зре
21971,незримо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зр
21976,неизбежно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,беж
21981,неизвестно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вест
21982,неизвестное,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,вест
21985,неизгладимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,глад
21986,неизданный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,изд
21987,неизжитый,a,lemma_level_conflict,жи,,,Conflicting automatic candidates across lemmas: жи|жил,жи
21988,неизлечимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,леч
21990,неизмененный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мен
21991,неизменно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мен
21994,неизмеримо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мер
21995,неизмеримый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мер
21997,неизученный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,уч
22000,неимоверно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мер
22001,неимоверный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мер
22002,неимущественный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,имуществен
22005,неинтересно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,интерес
22007,неинфицированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,инфиц
22009,неискренне,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,искренн
22011,неискренность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,искренн
22012,неискушенный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,искуш
22016,неиспользование,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,польз
22018,неиспользуемый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,польз
22023,неистово,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ист
22032,нейлоновый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейлон
22033,неймется,v,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,йм
22034,нейраминидаза,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейрамин
22035,нейровирулентность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"нейр,вирулент"
22037,нейронаука,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"нейр,наук"
22038,нейронный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейр
22039,нейропсихологический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"нейр,психолог"
22041,нейросетевой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"нейр,сет"
22042,нейросеть,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"нейр,сет"
22043,нейротрансмиттер,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"нейр,трансмиттер"
22050,нейтраль,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейтрал
22051,нейтрально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейтрал
22052,нейтральность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейтрал
22054,нейтрино,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейтр
22056,нейтронный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нейтр
22058,некачественно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,качеств
22060,неквалифицированный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,квалифиц
22061,неклассический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,класс
22062,неколебимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,колеб
22064,некоммерческий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коммерц
22065,некомпетентность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,компетент
22067,некомфортно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,комфорт
22070,неконкурентоспособный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,конкурентоспособ
22072,неконтролируемый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,контрол
22073,некоренной,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,корен
22074,некорректно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коррект
22075,некорректность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,коррект
22077,некрасиво,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,красив
22079,некрасовский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,некрасов
22083,некроз,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,некроз
22085,некрополь,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,некропол
22086,некрупный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,круп
22087,некстати,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кстати
22089,некуда,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,куда
22091,некурящий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,кур
22093,неладное,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лад
22097,нелегал,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,легал
22098,нелегально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,легал
22099,нелегальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,легал
22100,нелегитимный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,легит
22101,нелегкая,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лег-1
22103,нелегко,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лег-1
22104,нелепейший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,леп-2
22106,нелепо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,леп-2
22109,нелесной,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лес
22110,нелестный,a,lemma_level_conflict,лест,,,Conflicting automatic candidates across lemmas: лес-2|лест,лест
22111,нелетальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лет
22112,нелетный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лет
22115,нелинейность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лин-2
22116,нелинейный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лин-2
22118,нелишне,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лиш
22121,неловко,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ловк
22123,нелогично,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лог
22124,нелогичность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лог
22126,нелояльность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лоял
22131,нелюбовь,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,люб
22135,нелюдь,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,люд
22136,нема,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нем
22137,немаленький,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мал
22138,немало,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мало
22142,немедленно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,медл
22145,неменьший,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,меньш
22146,немерено,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мер
22153,немецко-фашистский,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,"немец,фаш"
22154,немигающий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,миг
22155,немилосердно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,милосерд
22156,немилосердный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,милосерд
22158,неминуемо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мин
22163,немногочисленный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,многочисл
22166,немо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нем
22167,немодный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мод
22169,немолодой,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,молод
22172,немочка,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,нем
22177,немудрено,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мудр
22178,немудреный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мудр
22180,немыслимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мысл
22182,немытый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,мыт
22183,ненаблюдаемый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,наблюд
22189,ненавязчиво,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,навязчив
22190,ненавязчивый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,навязчив
22192,ненадежно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,надеж
22193,ненадежность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,надеж
22194,ненадежный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,надеж
22195,ненадлежащий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,надлеж
22196,ненадобность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,надоб
22198,неназванный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,зван
22201,ненаписанный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,пис
22203,ненасилие,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,насил
22204,ненасильственный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,насил
22206,ненастоящий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,настоящ
22210,ненатурально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,натурал
22212,ненаучный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,науч
22214,ненецкий,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ненец
22215,ненормально,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,норм
22218,ненормативный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,норм
22223,необдуманно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дум
22224,необдуманный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,дум
22226,необжитой,a,lemma_level_conflict,жи,,,Conflicting automatic candidates across lemmas: жи|жил,жи
22227,необитаемый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обит
22230,необоснованно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,осн
22231,необоснованность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,осн
22236,необратимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обрат
22237,необратимость,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обрат
22238,необратимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обрат
22239,необрезанный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,рез
22243,необученный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,уч
22244,необходимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обходим
22248,необъективность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,объектив
22250,необъявленный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,объяв
22252,необъяснимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ясн
22253,необъятное,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,объят
22256,необыкновенно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обыкнов
22257,необыкновенный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обыкнов
22258,необычайно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обычай
22260,необычно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обыч
22261,необычность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обыч
22263,необязательно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обяз
22264,необязательность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обяз
22265,необязательный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,обяз
22267,неограниченно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,огранич
22269,неодинаково,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,одинак
22271,неоднозначно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,знач
22272,неоднозначность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,знач
22274,неоднократно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,крат
22275,неоднократный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,крат
22276,неоднородность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,род
22277,неоднородный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,род
22278,неодобрение,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,одобр
22279,неодобрительно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,одобр
22281,неодолимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,одол
22288,неоклассический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,класс
22291,неолиберализм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,либерал
22292,неолиберальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,либерал
22294,неолитический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,лит
22300,неописуемо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,опис
22303,неоплатонизм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,платон
22306,неоправданно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,правд
22308,неопределенно,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,определ
22309,неопределенность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,определ
22311,неопределимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,определ
22312,неопровержимо,adv,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,проверж
22313,неопровержимый,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,проверж
22314,неопрятный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,опрят
22316,неопытность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,опыт
22318,неорганизованный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,организ
22319,неорганический,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,орган
22320,неординарность,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,ординар
22322,неореализм,s,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,реал
22323,неоригинальный,a,missing_in_both,,,,No lemma in either Kuznetsova or Tikhonov,оригин
